delta_g
24.200000000000003
39.400000000000006
36.0
39.400000000000006
56.0
27.0
39.19999999999999
28.40000000000001
24.200000000000003
9.0
14.599999999999994
10.799999999999995
18.8
34.400000000000006
34.0
13.400000000000006
15.200000000000005
14.200000000000005
20.200000000000003
3.0
25.0
22.8
15.599999999999994
14.0
11.0
21.200000000000003
27.200000000000003
24.8
52.0
26.200000000000003
4.0
36.8
39.6
1.8000000000000114
37.0
8.200000000000003
38.8
26.0
27.40000000000001
17.200000000000003
72.4
70.39999999999999
43.6
65.8
70.2
4.200000000000003
39.400000000000006
104.0
140.2
36.0
26.599999999999994
7.0
123.2
123.0
126.6
58.0
113.0
65.6
68.4
118.0
126.0
108.0
-2.800000000000012
43.0
54.400000000000006
15.0
90.8
83.0
72.4
73.6
58.2
99.6
51.6
40.400000000000006
76.2
108.4
164.6
75.0
71.2
87.8
1.0
61.400000000000006
104.4
133.0
131.0
76.6
65.8
15.200000000000005
31.0
90.6
54.0
17.0
43.0
115.0
108.2
65.2
61.0
1.7999999999999972
48.400000000000006
27.0
120.8
41.8
41.0
24.0
62.400000000000006
84.0
25.200000000000003
13.799999999999995
5.599999999999994
62.0
55.6
25.0
94.0
59.0
67.0
65.8
-3.5999999999999943
30.40000000000001
61.0
9.400000000000006
49.0
49.0
33.599999999999994
67.0
92.6
26.200000000000003
48.8
32.0
-0.4000000000000057
32.0
1.5999999999999943
8.599999999999994
15.0
45.8
38.0
22.40000000000001
20.8
21.0
71.2
58.8
33.0
32.0
66.0
27.80000000000001
4.599999999999994
15.599999999999994
48.2
12.0
26.8
41.6
39.8
39.0
26.599999999999994
-4.0
49.2
24.0
8.799999999999997
22.8
27.39999999999999
22.0
18.8
18.8
20.200000000000003
35.0
78.8
4.200000000000003
7.599999999999994
20.8
47.6
37.0
-0.3999999999999915
0.0
24.0
116.79999999999998
-1.4000000000000057
70.2
14.800000000000011
52.6
18.80000000000001
41.400000000000006
61.19999999999999
37.80000000000001
107.8
0.4000000000000057
-1.1999999999999886
46.400000000000006
9.0
12.799999999999995
41.0
55.0
92.0
59.0
5.199999999999989
19.8
67.0
61.0
34.0
97.0
52.2
