iter	RMSE
133	12.81295475
134	12.79703892
135	12.78230057
136	12.75196515
137	12.73398576
138	12.70901295
139	12.68498036
140	12.66530878
141	12.64386365
142	12.62834207
143	12.61464604
144	12.5969503
145	12.57775772
146	12.55027512
147	12.51763104
148	12.50144491
149	12.48400012
150	12.45342733
151	12.43761912
152	12.42627967
153	12.40401937
154	12.38977723
155	12.37782949
156	12.36308715
157	12.3529862
158	12.33219245
159	12.305637
160	12.29536542
161	12.28047843
162	12.26380319
163	12.24232746
164	12.22872446
165	12.20327095
166	12.18288531
167	12.159588
168	12.14250929
169	12.12556266
170	12.11290432
171	12.10084924
172	12.08256791
173	12.06917875
174	12.05171475
175	12.03331189
176	12.01166566
177	11.99841923
178	11.98895887
179	11.9793104
180	11.96832332
181	11.96243865
182	11.94623966
183	11.93016772
184	11.91248354
185	11.90193496
186	11.89510843
187	11.87220952
188	11.86098065
189	11.84708443
190	11.83271598
191	11.81923582
192	11.80834471
193	11.79129077
194	11.77562323
195	11.76354799
196	11.74734645
197	11.73024613
198	11.71561917
199	11.70897047
200	11.69852503
201	11.69289204
202	11.67782671
203	11.66427228
204	11.65159094
205	11.63945908
206	11.62921443
207	11.6231353
208	11.61264103
209	11.59868304
210	11.59087961
211	11.57465035
212	11.56093188
213	11.55349379
214	11.54539125
215	11.53950031
216	11.53281865
217	11.51557784
218	11.50807242
219	11.48988438
220	11.4790075
221	11.46977895
222	11.45552003
223	11.45179963
224	11.44229277
225	11.43534927
226	11.43351164
227	11.42429835
228	11.4182299
229	11.41168961
230	11.4069086
231	11.38967344
232	11.38104028
233	11.3715265
234	11.36558183
235	11.35934435
236	11.34809885
237	11.34157823
238	11.33544234
239	11.32822793
240	11.31410687
241	11.30995109
242	11.29920166
243	11.2885565
244	11.27547272
245	11.26429584
246	11.25863113
247	11.2511553
248	11.23915856
249	11.23255818
250	11.22771742
251	11.22245668
252	11.21442019
253	11.20942021
254	11.20239648
255	11.19854151
256	11.17684171
257	11.16912796
258	11.16224616
259	11.15778633
260	11.14810187
261	11.1428714
262	11.13602383
263	11.1242577
264	11.11560659
265	11.11075696
266	11.10303508
267	11.10119851
268	11.09969739
269	11.08926779
270	11.08362288
271	11.074837
272	11.07207973
273	11.06541139
274	11.06113702
275	11.0541995
276	11.0488695
277	11.04234312
278	11.03221185
279	11.02837714
280	11.0169756
281	11.01308725
282	11.00799225
283	11.00257996
284	10.99228236
285	10.98019294
286	10.96852391
287	10.96090252
288	10.95144488
289	10.9437233
290	10.93977768
291	10.93476969
292	10.93101249
293	10.92589895
294	10.91710837
295	10.91093371
296	10.90561056
297	10.89977044
298	10.88655065
299	10.87535838
300	10.86850046
301	10.85613813
302	10.84724944
303	10.84624447
304	10.83728166
305	10.83238423
306	10.8249447
307	10.82030681
308	10.81821667
309	10.81359079
310	10.80993584
311	10.8088832
312	10.7994549
313	10.79823084
314	10.79123695
315	10.78591588
316	10.7831113
317	10.77312426
318	10.76947815
319	10.76348441
320	10.75583536
321	10.7485447
322	10.73699207
323	10.731787
324	10.72155049
325	10.71231972
326	10.7108292
327	10.71003551
328	10.70661929
329	10.69788765
330	10.69460741
331	10.69356009
332	10.67767242
333	10.66826132
334	10.65781631
335	10.65675984
336	10.64981404
337	10.64592313
338	10.64336997
339	10.63519272
340	10.62865705
341	10.62470299
342	10.60939203
343	10.60380181
344	10.59829744
345	10.59145249
346	10.58671782
347	10.58009403
348	10.57329787
349	10.5657274
350	10.55926312
351	10.55056024
352	10.54216669
353	10.53652767
354	10.52668174
355	10.52084095
356	10.51955322
357	10.51593033
358	10.51185584
359	10.50665103
360	10.50030136
361	10.48895544
362	10.4797219
363	10.47544458
364	10.47121295
365	10.45774942
366	10.4534801
367	10.45021198
368	10.44137945
369	10.43679615
370	10.43299609
371	10.43013515
372	10.42182333
373	10.41477118
374	10.40803462
375	10.4034315
376	10.39836856
377	10.39082857
378	10.38240333
379	10.38022116
380	10.37712039
381	10.3698665
382	10.36083867
383	10.35415222
384	10.35016585
385	10.34261104
386	10.33428313
387	10.33000815
388	10.32258009
389	10.31314383
390	10.30740896
391	10.30490522
392	10.30150281
393	10.29964411
394	10.29355517
395	10.28854284
396	10.28021638
397	10.26815873
398	10.26209713
399	10.25979405
400	10.25271903
401	10.24950025
402	10.23788509
403	10.23043722
404	10.22713957
405	10.22551347
406	10.22033706
407	10.21040501
408	10.20824068
409	10.2039001
410	10.19654133
411	10.19053677
412	10.18690022
413	10.18242122
414	10.1779059
415	10.175471
416	10.17318928
417	10.17096583
418	10.16468276
419	10.15423598
420	10.14831083
421	10.14374028
422	10.13663359
423	10.13099343
424	10.12624175
425	10.12374528
426	10.12170543
427	10.11954345
428	10.11346882
429	10.10739405
430	10.10284831
431	10.09938057
432	10.0922912
433	10.08573539
434	10.0791461
435	10.07751759
436	10.0753517
437	10.06582891
438	10.0587736
439	10.05541249
440	10.04876279
441	10.04698768
442	10.04284217
443	10.03840952
444	10.03254608
445	10.0289147
446	10.02439502
447	10.0226194
448	10.01786447
449	10.01712206
450	10.00702523
451	10.00495706
452	9.997402605
453	9.99304903
454	9.989604875
455	9.983945972
456	9.97863273
457	9.974629296
458	9.967259855
459	9.957147059
460	9.950759403
461	9.942907728
462	9.938804919
463	9.936533792
464	9.934145116
465	9.928118602
466	9.922675648
467	9.92081415
468	9.91573787
469	9.910711211
470	9.904980131
471	9.901191689
472	9.894557052
473	9.891530311
474	9.884027772
475	9.877207021
476	9.873595491
477	9.866773244
478	9.859887397
479	9.856181336
480	9.850017011
481	9.845264721
482	9.838526177
483	9.833157294
484	9.832489014
485	9.829735747
486	9.826025242
487	9.825339395
488	9.820412737
489	9.816332283
490	9.806304323
491	9.799602647
492	9.796596022
493	9.791987441
494	9.782159413
495	9.774987168
496	9.768843156
497	9.768118467
498	9.759627134
499	9.756463338
