iter	RMSE
0	40.5397837
1	39.50116293
2	38.48910668
3	37.58294069
4	36.61573084
5	35.7546121
6	34.91958084
7	34.18913686
8	33.44957973
9	32.72581756
10	32.09746249
11	31.38186256
12	30.83909668
13	30.17259643
14	29.56308771
15	28.91947111
16	28.38625581
17	27.8711165
18	27.37344051
19	26.99329225
20	26.48202121
21	26.09666944
22	25.72677896
23	25.28820449
24	24.84417597
25	24.43502471
26	24.01386803
27	23.62901426
28	23.25083704
29	22.88324656
30	22.56327533
31	22.2223013
32	21.89683483
33	21.60313276
34	21.32139644
35	21.0299156
36	20.80558387
37	20.55815118
38	20.28983844
39	20.07640247
40	19.87428666
41	19.68276988
42	19.47124423
43	19.24351574
44	19.0560087
45	18.929902
46	18.69211256
47	18.52209638
48	18.32758832
49	18.13583403
50	17.96461737
51	17.79451124
52	17.66663728
53	17.51736786
54	17.37784005
55	17.20354783
56	17.09508517
57	16.97385829
58	16.81416837
59	16.72938575
60	16.59184415
61	16.47182544
62	16.35223361
63	16.24403436
64	16.13137808
65	16.01896737
66	15.92371627
67	15.81509198
68	15.70293857
69	15.61792332
70	15.53550402
71	15.47074436
72	15.41250586
73	15.33289527
74	15.2415791
75	15.15819819
76	15.08602765
77	15.01720024
78	14.95569542
79	14.87658766
80	14.8130793
81	14.74585319
82	14.67855914
83	14.61212177
84	14.55692351
85	14.50745555
86	14.4615813
87	14.39699108
88	14.33816545
89	14.28932087
90	14.22500736
91	14.1775522
92	14.12971671
93	14.100993
94	14.05775148
95	14.00359986
96	13.95649583
97	13.92223797
98	13.89147615
99	13.85888904
100	13.82854308
101	13.77797745
102	13.73676852
103	13.69745098
104	13.66421572
105	13.63214354
106	13.60000045
107	13.57421196
108	13.53068062
109	13.48780336
110	13.46249725
111	13.42759372
112	13.40161928
113	13.35969198
114	13.32177023
115	13.28954626
116	13.2519873
117	13.23297143
118	13.2070264
119	13.17761195
120	13.14248967
121	13.11345076
122	13.08993952
123	13.06373942
124	13.0389123
125	13.01130656
126	12.98291379
127	12.96287592
128	12.93192872
129	12.90158696
130	12.88532972
131	12.85246636
132	12.83463203
